Horner_Adams_Taxon,Species,Ecotype,SVL,FL,RL,HL,HH,HW,SE,CHEEK,NECK
megaA2,buchananii,arboreal,36.3,14.72,17.4,7.9,3.11,4.2,3.41,4.49,7.15
megaA2,buchananii,arboreal,29.7,11.2,14.82,7.12,2.02,4.22,3.23,3.89,6.73
megaA2,buchananii,arboreal,38.36,13.96,17.97,8.17,2.9,4.53,3.65,4.52,8.17
megaA2,buchananii,arboreal,32.95,12.08,15.07,7.15,2.05,4.7,3.24,3.91,6.55
megaA2,buchananii,arboreal,36.29,12.1,15.95,7.83,2.66,4.44,3.74,4.09,8.03
megaA2,buchananii,arboreal,40.28,14.21,17.07,7.92,2.08,4.64,3.33,4.59,8.95
megaA2,buchananii,arboreal,38.8,14.06,17.12,8.4,3.13,5.12,3.64,4.76,6.91
megaA2,buchananii,arboreal,34.78,13.14,15.6,7.41,2.41,4.28,3.38,4.03,8
megaA2,buchananii,arboreal,33.5,13.31,16.7,7.27,2.44,4.44,3.28,3.99,9.15
megaA2,buchananii,arboreal,36.1,14.5,17.33,7.84,2.46,4.51,3.73,4.11,7.74
megaA2,buchananii,arboreal,32.04,13.41,16.74,7,2.31,4.04,3.08,3.92,6.4
megaA2,buchananii,arboreal,36.82,14.72,17.73,8.11,2.6,4.4,3.7,4.41,7.66
megaA2,buchananii,arboreal,37.43,15.04,18,8.21,3.19,4.93,3.78,4.43,8.87
megaA2,buchananii,arboreal,38.97,13.77,17.24,8.08,2.63,4.6,3.7,4.38,7.92
megaA2,buchananii,arboreal,40.75,15.36,18.14,8.44,3.04,4.88,3.6,4.84,8.66
megaA2,buchananii,arboreal,39.63,14.81,18.7,7.8,2.87,4.57,3.51,4.29,8.71
plagA1,buchananii,arboreal,41.62,14.55,18,8.7,3.35,5.21,3.93,4.77,8.01
plagA1,buchananii,arboreal,46.6,15.42,18.25,9.4,3.72,5.64,3.9,5.5,9.96
plagA1,buchananii,arboreal,42.58,15.55,19.48,9.38,3.97,5.97,4.16,5.22,9.73
plagA1,buchananii,arboreal,41.73,14.3,17.95,9,3.96,5.44,3.84,5.16,8.91
plagA1,metallicus,arboreal,43.61,14.6,16.7,8.68,3.56,5.05,3.7,4.98,8.49
plagA1,metallicus,arboreal,39.3,14.58,18.02,8.46,3.51,5.27,3.75,4.71,8.66
plagA1,metallicus,arboreal,45.24,15.83,18.01,8.93,3.81,5.02,3.86,5.07,8.38
plagA1,metallicus,arboreal,37.32,12.37,15.05,8.04,3.12,5.1,3.56,4.48,7.73
plagA1,metallicus,arboreal,42,14.94,18.78,9.05,4.03,5.52,3.99,5.06,9.35
plagA1,metallicus,arboreal,38.42,14.09,16.84,8.33,3.08,5.03,3.73,4.6,7.9
plagA1,metallicus,arboreal,40.09,13.5,16.92,8.62,3.69,5.22,3.8,4.82,8.38
plagA1,metallicus,arboreal,44.03,14.08,17.73,8.79,3.87,5.63,4.1,4.69,9.57
