ID,Species,Sex,SVL (mm),Mass (g),Femur Length (mm),Tibia Length (mm),4th-toe Metatarsal Length (mm),4th-toe Phalanges Length (mm),Humerus Length (mm),Ulna Length (mm),3rd-toe metacarpal+phalanges Length (mm),Head Length (mm),Head Width (mm),Pectoral Width (mm),Pelvis Width (mm),Tail Length (mm),3rd-toe Forefoot Toepad (mm2),4th-toe Hindfoot Toepad (mm2)
C17,A. cristatellus,M,66,7.64,16.242,14.1665,8.5204,10.4059,11.5448,9.438,7.2181,17.3887,11.8983,8.4082,6.76,47.9059,2.5849,4.3469
C18,A. cristatellus,F,48.5,3.05,11.2625,9.2,5.643,6.3408,8.1361,6.8377,4.7892,12.4792,8.1232,5.4511,4.9241,81.7893,1.313,1.9124
C19,A. stratulus,F,42.5,1.42,8.7608,7.5969,4.5899,5.5437,7.2291,6.0736,4.3552,11.6107,6.2131,4.4552,4.7165,54.0444,0.8984,1.2398
C20,A. stratulus,M,45,1.81,9.8959,8.9447,5.2548,5.9069,8.2693,6.9373,5.1308,12.4501,7.0831,5.3505,4.5862,47.7621,1.106,1.8159
C21,A. cristatellus,F,42,1.85,10.5304,8.7713,5.6765,6.4614,7.4383,6.1344,4.6106,11.1306,7.3605,5.5286,4.5513,66.5831,0.6669,1.2997
C22,A. cristatellus,M,66,7.96,16.3261,14.2906,8.5862,9.8942,11.932,10.1275,7.7678,17.0482,12.1676,8.8401,6.9378,122.9741,3.07,4.3964
C23,A. stratulus,M,45,1.9,9.3085,8.8685,4.8688,5.7889,7.8508,6.6742,4.6521,12.8033,7.2135,4.9185,4.1878,74.1932,1.0056,2.0153
C24,A. stratulus,M,46,1.96,10.0033,8.763,4.8876,6.1154,8.17,6.7876,4.934,13.3826,7.1657,4.9183,4.3004,64.9905,1.2539,2.0032
C25,A. cristatellus,F,45,1.95,10.2804,8.7421,5.5036,6.3635,7.5159,5.9856,4.9135,10.9945,7.3915,4.8709,4.9359,76.5859,0.8472,1.3009
C26,A. cristatellus,M,64,7.73,16.3577,14.4445,8.4882,10.5875,12.0688,9.9381,8.0915,16.4666,12.1521,8.7467,7.2211,116.123,3.1386,5.1265
C27,A. cristatellus,F,45,2.28,10.7403,8.8446,5.3171,6.661,7.9778,6.1333,4.8739,11.9547,7.5551,4.9206,5.2334,59.3493,1.1592,1.8671
C28,A. cristatellus,M,59.5,5.29,14.1891,11.9735,6.9818,8.5857,10.6524,8.5649,6.9531,14.9875,10.5193,7.4169,6.0616,90.713,2.2974,3.6983
