Horner_Adams_Taxon,Species,Ecotype,SVL,FL,RL,HL,HH,HW,SE,CHEEK,NECK
plagA5,metallicus,arboreal,38.02,13.77,16.53,8.38,3.16,4.97,3.53,4.85,7.37
plagA5,metallicus,arboreal,36.12,12.48,16.41,7.76,3.53,4.65,3.44,4.32,7.24
plagA5,metallicus,arboreal,31.35,11.03,14.26,7.13,2.75,4.19,3,4.13,6.44
plagA5,metallicus,arboreal,29.8,9.76,12.33,6.7,2.5,3.65,2.85,3.85,6.27
plagA5,metallicus,arboreal,28.44,9.27,11.9,6.5,2.47,3.87,3.26,3.24,6.45
plagA5,metallicus,arboreal,37.22,12.1,15.75,8.09,3.07,5.08,3.6,4.49,7.51
plagA5,metallicus,arboreal,35.78,12.34,16.17,7.93,3.24,4.5,3.44,4.49,6.7
plagA5,metallicus,arboreal,41.8,14.64,16.72,8.94,3.63,5.67,3.84,5.1,8.28
plagA5,metallicus,arboreal,38.51,13.58,16.1,8.65,3.54,5.16,3.7,4.95,7.95
plagA5,metallicus,arboreal,35.5,12.52,15.8,7.84,3.14,4.74,3.62,4.22,7.16
plagA5,metallicus,arboreal,32.67,11.9,13.88,7.06,2.55,4.52,3.16,3.9,6.73
plagA5,metallicus,arboreal,40.8,13.62,17.6,8.98,3.79,5.33,4.01,4.97,7.55
plagA5,metallicus,arboreal,39.06,14.28,16.68,8.31,3.37,5.03,3.55,4.76,7.52
plagA5,metallicus,arboreal,39.5,13.04,16.48,8.39,3.39,5.1,3.68,4.71,9
plagA5,metallicus,arboreal,41.77,13.55,16.2,8.16,3.05,4.97,3.83,4.33,7.85
plagA5,metallicus,arboreal,37.67,12,14.67,7.88,3.03,4.45,3.84,4.04,8.22
plagA5,metallicus,arboreal,37.71,13.47,15.48,8.57,2.71,5.07,3.87,4.7,7.85
plagA5,metallicus,arboreal,40.71,14.13,17.57,9.22,3.27,4.83,4.15,5.07,9.3
plagA5,metallicus,arboreal,47.88,14.53,17.96,9.59,4.1,6,4.52,5.07,8.93
plagA5,metallicus,arboreal,38.62,12.37,14.96,8.25,3.54,5.15,3.9,4.35,8.26
plagA5,metallicus,arboreal,29.64,9.08,13.45,7.07,2.51,3.99,3.14,3.93,6.42
plagA5,metallicus,arboreal,29,9.88,12.37,6.75,2.7,3.9,3.02,3.73,7.05
plagA5,metallicus,arboreal,39.54,14.03,17.73,8.6,3.57,4.91,3.78,4.82,9.58
plagA5,metallicus,arboreal,39.02,11.94,15.2,8.21,3.28,4.98,3.63,4.58,8.09
plagA5,metallicus,arboreal,41.25,14.23,16.2,8.5,3.76,5.07,3.58,4.92,9.65
plagA5,metallicus,arboreal,39.56,13.68,16.73,8.64,3.64,5.26,3.6,5.04,9.29
plagA5,metallicus,arboreal,36.24,12.3,15.3,7.71,2.93,4.5,3.35,4.36,7.52
plagA5,metallicus,arboreal,36.47,12.8,16.44,7.81,3.51,4.6,3.52,4.29,8.04
plagA5,metallicus,arboreal,38.19,12.6,15.44,7.72,3.15,4.49,3.39,4.33,8.47
plagA5,metallicus,arboreal,37.3,11.96,15.2,7.82,2.97,4.48,3.43,4.39,7.89
plagA5,metallicus,arboreal,27.85,9.6,12.55,6.64,2.53,3.84,3.08,3.56,5.36
plagA5,metallicus,arboreal,33.27,11.8,14.32,7.27,2.68,4.16,3.42,3.85,7.26
plagA5,metallicus,arboreal,37.4,12.92,16.4,8.05,2.91,4.6,3.46,4.59,8.22
plagA5,metallicus,arboreal,39.37,13.44,16.74,8.57,3.3,5.13,3.73,4.84,8.58
plagA5,metallicus,arboreal,29.74,10.5,13.05,6.58,2.82,3.71,2.9,3.68,6.54
plagA5,metallicus,arboreal,41.92,13.42,17.18,8.4,3.68,5.27,3.72,4.68,9.54
plagA5,metallicus,arboreal,44.4,15.01,18.1,9.02,4.4,6.26,4.16,4.86,9.86
plagA5,metallicus,arboreal,40.77,15.24,17.66,8.7,4.17,6.09,4.03,4.67,9.59
plagA5,metallicus,arboreal,30.31,10.33,12.25,6.74,2.63,3.87,3.05,3.69,6.66
plagA5,metallicus,arboreal,36.42,13.32,15.92,8.16,3.1,4.72,3.74,4.42,7.98
plagA5,metallicus,arboreal,36.19,14.48,15.93,8.14,3.21,4.62,3.56,4.58,7.42
plagA5,metallicus,arboreal,37.47,13.74,17.01,8.85,3.54,5,3.96,4.89,8.42
plagA5,metallicus,arboreal,36.8,13.07,15.9,8,3.8,4.99,3.45,4.55,7.21
plagA5,metallicus,arboreal,44.88,13.44,17.69,9.27,4.56,5.71,4.31,4.96,9.43
plagA5,metallicus,arboreal,40.55,12.65,14.67,8.43,3.9,5.43,3.81,4.62,7.7
plagA5,metallicus,arboreal,36.92,12.37,16.01,7.83,3.51,4.79,3.87,3.96,6.62
plagA5,metallicus,arboreal,40.83,12.35,15.77,8.3,3.81,5.36,4.07,4.23,7.1
plagA5,metallicus,arboreal,36.55,12.8,15.2,7.91,3.34,4.79,3.81,4.1,6.37
plagA5,metallicus,arboreal,44.64,13.4,16.2,8.7,4.1,5.5,4,4.7,8.3
plagA5,metallicus,arboreal,47.15,14.35,18.57,9.4,4.17,5.74,4.64,4.76,8.79
plagA5,metallicus,arboreal,40.7,12.85,15.63,9.14,3.59,5.28,3.94,5.2,8.54
plagA5,metallicus,arboreal,40.84,12.85,15.97,8.13,3.44,4.67,3.92,4.21,7.61
plagA5,metallicus,arboreal,38.66,12.84,16.6,8.4,3.43,5.19,3.67,4.73,7.65
plagA5,metallicus,arboreal,40.77,12.87,17.35,9.13,3.94,5.6,4.23,4.9,8.49
plagA5,metallicus,arboreal,40.78,12.54,14.85,7.8,3.28,4.57,3.48,4.32,8.45
plagA5,metallicus,arboreal,40.78,14.09,16.6,8.8,3.77,5.36,3.87,4.93,9.05
plagA5,metallicus,arboreal,43.18,13.93,17.17,9.05,3.57,5.38,3.85,5.2,9.08
plagA5,metallicus,arboreal,40.56,14.01,16.26,8.47,3.43,5.13,3.97,4.5,8.83
plagA5,metallicus,arboreal,37.73,12.35,15.54,8.8,3.98,5.66,4.11,4.69,7.94
plagA5,metallicus,arboreal,37.66,12.68,16.86,8.86,4.04,5.24,4.26,4.6,7.87
plagA5,metallicus,arboreal,34.06,12.92,14.76,7.53,3.91,4.75,3.7,3.83,6.46
plagA5,metallicus,arboreal,38.48,13.84,17.13,8.8,4.06,5.68,4.15,4.65,7.58
plagA5,metallicus,arboreal,36.16,12.96,15.58,8.04,3.99,5.11,4.06,3.98,6.62
plagA5,metallicus,arboreal,37.15,14.11,16.92,8.59,3.38,4.89,3.88,4.71,7.61
plagA5,metallicus,arboreal,43.44,14.82,18.61,9.06,4.5,5.63,4.28,4.78,8.77
plagA5,metallicus,arboreal,36.7,13.99,16.04,8.28,4.18,5.4,3.86,4.42,7.88
plagA5,metallicus,arboreal,42.93,13.61,17.13,8.9,3.32,5.14,4.14,4.76,7.7
plagA5,metallicus,arboreal,37.96,13.25,16.6,7.97,3.39,4.62,3.52,4.45,8.13
plagA5,metallicus,arboreal,37.64,13.11,16.29,8,3.32,4.56,3.48,4.52,8.15
plagA5,metallicus,arboreal,37.07,12.36,14.5,7.97,3.53,4.63,3.4,4.57,8.25
plagA5,metallicus,arboreal,38.16,12.37,15.43,7.97,3.27,4.83,3.49,4.48,8.69
plagA5,metallicus,arboreal,39.1,13.51,15.65,7.6,2.89,4.6,3.43,4.17,8.77
plagA5,metallicus,arboreal,40.27,13.84,16.77,8.18,3.4,4.91,3.73,4.45,8.59
plagA5,metallicus,arboreal,39.55,13.33,16.48,7.96,3.56,5.24,3.67,4.29,9.11
plagA5,metallicus,arboreal,43.3,13.37,16.66,8.72,4.14,5.31,3.98,4.74,9.77
plagA5,metallicus,arboreal,45.53,13.26,16.55,8.82,3.98,5.5,3.82,5,8.81
plagA5,metallicus,arboreal,42.07,13.33,16.71,8.58,3.68,5.07,3.97,4.61,9.5
plagA5,metallicus,arboreal,44.18,14.45,18.39,9.52,4.01,5.94,4.41,5.11,10.1
plagA5,metallicus,arboreal,44.31,13.45,16.11,8.79,3.85,5.07,4.09,4.7,8.79
plagA5,metallicus,arboreal,39.33,13.4,16.34,8.34,3.57,5.11,3.65,4.69,9.07
plagA5,metallicus,arboreal,40.95,12.85,16.47,8.23,4.03,4.99,3.87,4.36,8.69
plagA5,metallicus,arboreal,42.09,13.3,15.06,8.31,3.68,4.97,3.78,4.53,8.98
plagA5,metallicus,arboreal,34.48,11.58,14.73,7.48,3.35,4.28,3.33,4.15,7.47
plagA5,metallicus,arboreal,30.37,10.25,11.52,6.69,2.66,4,2.97,3.72,7.01
plagA5,metallicus,arboreal,37.2,12.93,15.18,8.36,3.57,5.09,3.57,4.79,8.19
plagA5,metallicus,arboreal,39.72,12.04,15.48,7.84,3.56,4.95,3.3,4.54,8.26
plagA5,metallicus,arboreal,39.54,12.33,16.35,8.12,3.76,4.75,3.52,4.6,8.16
plagA5,metallicus,arboreal,40.95,13.85,16.55,8.22,3.43,5.21,3.87,4.35,8.65
plagA5,metallicus,arboreal,41.68,14.69,17.23,9.22,4.41,5.54,4.62,4.6,8.41
plagA5,metallicus,arboreal,44.9,13.72,16.32,9.54,3.99,5.76,4.64,4.9,9.6
carnD,australis,arboreal,40.92,12.7,17.04,8.64,3.54,5.31,3.92,4.72,9.21
carnD,australis,arboreal,39.82,14.2,18.14,8.56,3.63,5.5,3.8,4.76,8.97
carnD,australis,arboreal,37.05,13.12,16.09,8.01,2.88,4.93,3.47,4.54,7.28
carnD,australis,arboreal,31.88,10.83,13.17,7.02,2.71,4.25,3.21,3.81,6.48
carnD,australis,arboreal,32.83,11.67,15.26,7.34,3.15,4.3,3.22,4.12,7.39
carnD,australis,arboreal,43.97,14.11,17.43,8.76,3.97,5.6,3.64,5.12,8.07
carnD,australis,arboreal,45.18,14.45,18.04,8.77,3.78,5.46,4.05,4.72,8.83
carnD,australis,arboreal,44.7,14.48,17.07,8.97,3.8,5.54,3.76,5.21,8.86
carnD,australis,arboreal,44.24,13.98,17.58,8.82,3.35,5.85,3.8,5.02,8.59
carnD,australis,arboreal,37.84,13.96,16.48,8.48,3.27,5.5,3.64,4.84,7.29
